ala,arg,asn,asp,cys,glu,gln,gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,tyr,val,environment,strain,fitness
0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,aerobic,S. gordonii CH1,0.0018193303853442802
0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,aerobic,S. gordonii CH1,0.001909662361085322
0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,aerobic,S. gordonii CH1,0.0005809168804763524
0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,aerobic,S. gordonii CH1,0.015839074998020116
0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,aerobic,S. gordonii CH1,0.0012641226198941307
0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,aerobic,S. gordonii CH1,0.0018126888217522674
0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,aerobic,S. gordonii CH1,0.0031518398865337622
0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.001273108240723551
0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,aerobic,S. gordonii CH1,0.004647335043810815
0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,aerobic,S. gordonii CH1,0.0025342519996832164
0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,aerobic,S. gordonii CH1,0.015547139724935221
0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,aerobic,S. gordonii CH1,0.0006309148264984233
0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,aerobic,S. gordonii CH1,0.002387109608116171
0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,aerobic,S. gordonii CH1,0.0018961839298411915
0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,aerobic,S. gordonii CH1,0.0018126888217522674
0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,aerobic,S. gordonii CH1,0.0006064434617814239
0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,aerobic,S. gordonii CH1,0.001909662361085322
0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,aerobic,S. gordonii CH1,0.0011618337609527007
0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,aerobic,S. gordonii CH1,0.0012671259998416104
0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,aerobic,S. gordonii CH1,0.0011959338249950139
0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,aerobic,S. gordonii CH1,0.003154574132492112
0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,aerobic,S. gordonii CH1,0.004177441814203302
0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,aerobic,S. gordonii CH1,0.0012641226198941264
0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,aerobic,S. gordonii CH1,0.0012084592145015075
0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,aerobic,S. gordonii CH1,0.005042943818454023
0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,aerobic,S. gordonii CH1,0.004245104232469997
