ala_exch,gly_exch,arg_exch,asn_exch,asp_exch,cys_exch,glu_exch,gln_exch,his_exch,ile_exch,leu_exch,lys_exch,met_exch,phe_exch,ser_exch,thr_exch,trp_exch,tyr_exch,val_exch,pro_exch,grow
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1.0
0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1.0
0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0.28776759018012826
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1.0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.9192028213054756
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.0
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1.0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6857484272800806
0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0.4442564194195985
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.05072920882033216
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.0
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.7480347445504241
0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1.0
0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1.0
0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0
0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.09879298256195296
0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1.0
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0.8100883144088171
0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1.0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1.0
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1.0
